"x","y","th","k","s"
5,10,0.789566,0,0
5.56716,10.5719,0.789516,-6.45716e-05,0.805453
6.08979,11.0989,0.789334,-0.00025543,1.54762
6.57302,11.5859,0.789019,-0.000476125,2.23372
7.0215,12.0376,0.788577,-0.000719055,2.87027
7.4394,12.4582,0.788019,-0.000972796,3.46316
7.83048,12.8513,0.787361,-0.00122258,4.01769
8.19807,13.2204,0.786627,-0.00145138,4.53856
8.54513,13.5683,0.785841,-0.00164144,5.02998
8.87424,13.8977,0.785034,-0.00177613,5.49562
9.18766,14.2109,0.784236,-0.00184155,5.93871
9.48736,14.5099,0.783478,-0.00182794,6.36204
9.77498,14.7964,0.782789,-0.00173036,6.76803
10.052,15.072,0.782195,-0.00154874,7.15872
10.3195,15.3378,0.781717,-0.00128748,7.53584
10.5785,15.5949,0.781374,-0.000954544,7.90083
10.8299,15.8442,0.781178,-0.000560641,8.25488
11.0742,16.0865,0.781138,-0.000118408,8.59896
11.312,16.3223,0.781256,0.000358027,8.93388
11.5438,16.5522,0.781531,0.000853094,9.26027
11.7698,16.7764,0.781956,0.00134943,9.57869
11.9904,16.9955,0.782518,0.001829,9.8896
12.2059,17.2097,0.783203,0.00227986,10.1934
12.4164,17.4194,0.783995,0.0026953,10.4906
12.6223,17.6247,0.784879,0.00306965,10.7814
12.8238,17.826,0.785837,0.00339799,11.0662
13.0212,18.0235,0.786853,0.00367619,11.3454
13.2145,18.2174,0.787912,0.00390105,11.6192
13.404,18.4079,0.788995,0.00407029,11.8879
13.5899,18.5951,0.790089,0.00418265,12.1517
13.7724,18.7793,0.791179,0.00423785,12.411
13.9515,18.9605,0.792249,0.00423657,12.6658
14.1275,19.1389,0.793289,0.0041805,12.9164
14.3004,19.3146,0.794285,0.00407224,13.1629
14.4705,19.4877,0.795227,0.00391529,13.4056
14.6377,19.6583,0.796108,0.00371406,13.6445
14.8023,19.8264,0.796919,0.00347376,13.8797
14.9643,19.9922,0.797655,0.00320046,14.1114
15.1237,20.1555,0.798312,0.00290105,14.3397
15.2807,20.3166,0.798889,0.00258325,14.5647
15.4353,20.4755,0.799385,0.00225566,14.7863
15.5875,20.6321,0.799803,0.00192716,15.0047
15.7376,20.7865,0.800146,0.00160215,15.22
15.8853,20.9387,0.800415,0.00127906,15.4321
16.0309,21.0887,0.800613,0.000954833,15.6412
